;text;option_1;option_2;option_3;option_4;N;Type;Order;Keywords
q23527;What type of humor do you enjoy most?;Ribald, crude, debasing;Witty, tongue-in-cheek;Slapstick, physical, farce;Sarcastic;21947;N;;preference
q23532;When you break up with someone, do you tell them the real reason(s) or do you try to let them down as easy as possible?;Tell the truth, no matter how much it hurts.;Go easy on them - they'll hurt enough as it is.;I've never been the dump-er;;13817;M;[3];"descriptive; preference"
q23543;Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?;Yes, no matter what;Yes, unless otherwise specified;No, it's not necessary;No, I'd prefer not to communicate daily;48633;O;;preference
q23544;A holiday or a birthday is coming up, your partner begins the rundown, not on what he/she wants, but the rules for choosing a gift (books are tacky, flowers show lack of thought, never clothing, etc.) Is this good or bad?;Good;Bad;;;3041;O;;opinion
q23618;How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?;Very - I need some ME time to be happy;Sort of - I need friends outside of my partner;Not much - I like sharing stuff with my partner;I'd prefer not to have exclusive things;25612;O;;preference
q23696;When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?;Yes, frequently;Sometimes;Used to, but not any more;Never;33272;O;;descriptive
q23733;Have you ever been to a sex shop?;Yes;No;;;13748;O;;descriptive
q23779;How often are you influenced by peer pressure?;Often;Rarely;Sometimes;;21228;O;;descriptive
q23811;Do you often find yourself wondering 'What the hell was I thinking when I did that?';Yes, all the time.;Yes, sometimes.;No, never.;;15757;O;;descriptive
q23834;Do you often make jokes that offend more uptight people?;Yes;No;;;44922;O;;descriptive
q23869;Two people both like you. One is more fun, the other is more stable.;I'd play my nights and days away - FUN!;I'm looking for something a serious - STABLE;;;5523;O;;preference
q23873;If your partner had a problem with gambling, drugs, or alcohol abuse, do you believe it would be your place to find them help, whether it would hurt or help your relationship?;Yes, it would be worth the risk to save them!;No, My partner can make his/her own decison;I wouldn't risk hurting our relationship;I do not care;2543;M;2, 4, 1, [3];preference
q23876;If someone has a nice profile but doesnt look that great in their pictures would you still message them?;Yes;No;I'm Not Sure;;4087;O;2, 3, 1;preference
q23951;Have you ever gone 'warthogging'? (where 'warthogging'= a game where a group of friends compete to see who can pick up/ dance with/ have sex with the most unattractive person);Yes, and I'd do it again.;Yes, but I'm not proud of it.;No, but I would like to.;No, and I would never do that.;9400;O;;"descriptive; preference"
q23954;Do you ever feel the need to get really drunk?;Often;Sometimes;Rarely;Never;25432;O;;descriptive
q23992;You come home and discover that somebody's broken into your house, and they're still inside.  You...;Find the handiest weapon and confront them;Call the police and let them handle it;Spy on them from up the street, see where they go;Hurry to a neighbor's and get their help.;3612;N;;"preference; descriptive; politics"
q23993;In terms of sex, how experienced would your ideal mate be (with people other than you)?;Innocent (Virgin);Slightly Experienced;Moderately Experienced;Very Experienced;34518;O;;sex/intimacy
q24013;Consciousness is...;Biological - Brain, senses.;Spiritual - Soul, heart, spirit.;A good topic for debate, my answer is too long.;A big, scary word.;10930;N;;"religion/superstition; opinion"
q24088;When on vacation/ holiday, do you generally:;Stay in a hostel/ budget hotel;Stay in a luxury hotel;Use a tent and sleeping bag;Not travel during vacations;8085;N;;descriptive
q24125;Do you believe contraception is morally wrong?;Yes;No;;;48530;O;;religion/superstition
q24134;How often do you wash your bath towel(s)?;After every use;Every couple uses;Occasionally / When it starts smelling;Rarely;7400;O;;descriptive
q24137;Are you willing to wear uncomfortable clothes to look good?;Absolutely not;On very special occasions;Sometimes;Usually yes;10573;O;;descriptive
q24143;Your significant other has been offered a grant from the scientific community to raise an ape in the household and teach it to communicate with humans. What is your reaction?;I won't stand in the way. I won't be involved.;No way.;What a great opportunity!;;3042;O;3, 1, 2;preference
q24153;When I go out to eat, I go to a large chain restaurant:;Exclusively;Sometimes;Once in a while;Never;22686;O;;preference
q24251;Do you have a hard time feeling happy when people around you are sad or upset?;Yes;Sometimes;No;;9593;O;;descriptive
q24282;Outside of work and school, how inclined are you to investigate something that interests you?;Very inclined;Somewhat inclined;Not inclined;;35888;O;;descriptive
q24333;Are you squeamish about sharing food or beverages with the person you're dating?;Yes;No;Only at first;;27513;O;2, 3, 1;descriptive
q24345;How much can intelligence turn you on?;A lot!;A bit.;Intelligence does nothing for me either way.;Intelligence turns me off.;48225;O;;"preference; cognitive"
q24375;Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?;1-2 dates;3-5 dates;6 or more dates;Only after the wedding;51072;O;;"sex/intimacy; religion/superstition; preference"
q24389;How do you feel about nations spending billions of dollars on space exploration?;It's important for it's own sake.;The new technologies developed benefit everybody.;Problems here on earth are more urgent.;I don't care.;5014;O;2, 1, 4, 3;politics
q24469;You have just been unfairly laid off from work.  As you are leaving, you have an opportunity to steal something of value, and nobody would know.  Would you take it?;Yes;No;;;6146;O;;descriptive
q24496;When a dog licks your face, what is your reaction?;Ugh. Nasty.;Awww..how cute!;I'm Not Sure / Don't care;;21415;O;2, 3, 1;preference
q24630;You've just met someone incredible while out with friends, and (s)he's been kind enough to cough up a phone number.  How long do you wait to call?;As soon as I get home!;Tomorrow.  I don't want to seem too eager.;The mandatory three days.  Duh.;Eventually, when I feel like it...;5176;O;;descriptive
q24648;Would you be turned off by the idea of dating someone who has never been kissed?;Yes;No;Don't know;;7404;O;2, 3, 1;preference
q24682;It's better to have an open-relationship because there'll be cheating in monogamous relationships anyways.;True;False;;;12952;O;;opinion
q24684;Do you carry condoms?;Always;Sometimes;Rarely;Never;27680;O;;"sex/intimacy; descriptive"
q24688;Which of the following would you rather have invented?;The Lightbulb;The Smallpox Vaccine;The Calculator;The Airplane;9025;N;;preference
q24740;Do trees have souls?;Yes;No;;;20566;O;;religion/superstition
q24748;Would you date a comic book geek?;Yes;No;;;22921;O;;"preference; descriptive"
q24991;Would you enjoy an 8-10 mile run with your significant other?;Yes;Maybe less mileage;I am not a runner;What?! Get up off my couch?;8691;O;;preference
q25017;Do you like to play with words? This includes making up riddles, puns, or even just making that perfect sentence for an essay.;Sure! I often 'letter' rip!;It can be fun;No, I use language grudgingly.;Wot? Me no like righting!;9360;O;;preference
q25040;Do you ever daydream of performing a heroic feat or be dramatically rescued for/by the person of your dreams?;Yes;No;I'm Not Sure;;10270;O;2, 3, 1;descriptive
q25063;Do you freak out when you get a little upset? (i.e scream, yell and cry);Yes;No;Only when no one is around;Only when someone is around;18659;O;2, (3, 4), 1;descriptive
q25107;Do you mock religion?;Yes, openly;Yes, to myself/with friends;No;;18698;O;;"religion/superstition; descriptive"
q25114;Which event sounds most appealing?;Sci-Fi Convention;Political Convention;Music Festival;New Years Eve in Times Square;31558;N;;"preference; opinion"
q25228;Do you think drug use with your partner can be a romantic activity?;Yes;No;;;37188;O;;"sex/intimacy; preference; opinion"
q25294;Would you date someone who was currently in a relationship, knowing that you would 'be a secret?';Sure, why not?;Depends on the person.;Absolutely NOT.;;25829;O;;preference
q25421;A difference of opinion over which of the following topics would most likely make you think twice about dating someone?;Abortion;Politics;Death Penalty;None of these would.;17056;N;;"politics; religion/superstition; opinion"
q25561;Does it bother you when people say 'PIN number' or 'ATM machine'?;Yes!;Well, a little;Nope, but I see why you're asking;Why would it?;27944;O;;"preference; cognitive"
q25734;What is the farthest you have/would go in a game of strip poker?;Underwear;Topless;All the way;Wouldn't even be playing.;23523;O;4, 1, 2, 3;"preference; descriptive"
q25768;Would you ever correct your partner for seriously misusing or mispronouncing a word?;Yes;No;;;20063;O;;descriptive
q25809;Is it okay to search your child's room, to make sure they aren't doing anything you don't want them to do?;Yes.;Only with probable cause.;No, their right to privacy is too important.;;13694;O;;descriptive
q25908;If money were not an issue, would you have major cosmetic surgery on any part of your face or body?;Yes;No;;;19029;O;;preference
q26052;Would you date someone who was very into fantasy novels?;Yes;Maybe;No, what a geek!;;25441;O;;preference
q26144;Would it bother you if your boss was a minority, female, or gay?;Yes, one or more of those types bother me;Not really, but maybe;Not sure;No;10232;O;;"politics; preference"
q26204;Hypothetically, if you had an unwanted child on the way, what would you do?;Abort it;Give it up for Adoption;Keep it regardless;;11343;O;;"politics; preference"
